date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:20	404/404	---M--	200	added ('OK')	text/plain	date:Fri,%2021%20Jul%202023%2018:16:18%20GMT	https://temugebat0612.wixsite.com/robots.txt		(from )
11:16:21	361048/361048	---MCZ	200	added ('OK')	text/html	etag:W/%229b609526af13f957f02dc0a2f00dabf1%22	https://temugebat0612.wixsite.com/mysite-1	C:/Users/temug/3D%20Objects/naizohin%20salah/temugebat0612.wixsite.com/mysite-1.html	(from )
11:16:21	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/temug/3D%20Objects/naizohin%20salah/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://temugebat0612.wixsite.com/mysite-1)
11:16:22	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/temug/3D%20Objects/naizohin%20salah/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://temugebat0612.wixsite.com/mysite-1)
11:16:23	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2003%20May%202023%2000:17:37%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/temug/3D%20Objects/naizohin%20salah/polyfill.io/v3/polyfill.mind82c.js	(from https://temugebat0612.wixsite.com/mysite-1)
11:16:25	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Jul%202023%2018:16:24%20GMT	https://temugebat0612.wixsite.com/	C:/Users/temug/3D%20Objects/naizohin%20salah/temugebat0612.wixsite.com/index.html	(from https://temugebat0612.wixsite.com/mysite-1)
11:16:26	7423/7423	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jul%202023%2018:16:24%20GMT	https://static.wixstatic.com/media/41d000_5a6f5e66164f46b8a63236887c8c8673.png/v1/fill/w_96,h_64,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/41d000_5a6f5e66164f46b8a63236887c8c8673.png	C:/Users/temug/3D%20Objects/naizohin%20salah/static.wixstatic.com/media/41d000_5a6f5e66164f46b8a63236887c8c8673.png/v1/fill/w_96,h_64,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/41d000_5a6f5e66164f46b8a63236887c8c8673.png	(from https://temugebat0612.wixsite.com/mysite-1)
11:16:26	491/491	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jul%202023%2018:16:25%20GMT	https://static.wixstatic.com/media/41d000_372d7e1687244ab3970d4faa1f28934a.png/v1/fill/w_20,h_25,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/41d000_372d7e1687244ab3970d4faa1f28934a.png	C:/Users/temug/3D%20Objects/naizohin%20salah/static.wixstatic.com/media/41d000_372d7e1687244ab3970d4faa1f28934a.png/v1/fill/w_20,h_25,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/41d000_372d7e1687244ab3970d4faa1f28934a.png	(from https://temugebat0612.wixsite.com/mysite-1)
11:16:26	1630/1630	---M--	200	added ('OK')	application/octet-stream	etag:%22f3ca8789fa7c340dfc30e434b3c8fc58%22	https://static.wixstatic.com/media/84770f_17f60153824d4c83ae3566626e669e78~mv2.gif	C:/Users/temug/3D%20Objects/naizohin%20salah/static.wixstatic.com/media/84770f_17f60153824d4c83ae3566626e669e78_mv2.gif	(from https://temugebat0612.wixsite.com/mysite-1)
11:16:27	22798/22798	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jul%202023%2018:16:25%20GMT	https://static.wixstatic.com/media/f6b504_36e04619b3e5421590700ffd30412b56~mv2.jpeg/v1/fill/w_440,h_330,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/IMG_8598.jpeg	C:/Users/temug/3D%20Objects/naizohin%20salah/static.wixstatic.com/media/f6b504_36e04619b3e5421590700ffd30412b56_mv2.jpeg/v1/fill/w_440,h_330,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/IMG_8598.jpg	(from https://temugebat0612.wixsite.com/mysite-1)
